Type of Event,Date_Display,Date_Formatted,Time,Long Title,Short Title,Limit,Reg Price,Early Price,Add-on
Adventures in Ideas,"Jan 27, 2018",2018-01-27,9:30am-3:30pm,"Art and Technology, From Vermeer to Video",Art & Technology,,140.00,125.00,n/a - lunch included
Adventures in Ideas,"Feb 2-3, 2018",2018-02-02,4:30pm-12:00pm,The Triumph of Christianity in the Ancient World,Ancient Christianity 2,90,125.00,110.00,optional dinner $20.00
Adventures in Ideas,"Feb 24, 2018",2018-02-24,9:15am-4:30pm,Shakespeare: New Perspectives,Shakespeare,90,125.00,110.00,optional lunch $15.00
Adventures in Ideas,"Mar 24, 2018",2018-03-24,9:15am-5:30pm,"Learning from the Holocaust: Public Monuments, Museums, and Memory",Holocaust Monuments,,125.00,110.00,optional lunch $15.00
Adventures in Ideas,"Apr 7, 2018",2018-04-07,9:15am-4:00pm,"The French Revolution: Politics, Violence and Polarization",French Revolution,90,125.00,110.00,optional lunch $15.00
Adventures in Ideas,"Apr 20-21, 2018",2018-04-20,4:30pm-1:00pm,Whatever Happened to Global Diplomacy?,Global Diplomacy,90,125.00,110.00,optional dinner $20.00
Adventures in Ideas,"May 4-5, 2018",2018-05-04,4:30pm-1:00pm,Germany Under the Nazis,Nazi Germany,90,125.00,110.00,optional dinner $20.00
Dialogues seminar,"Feb 10, 2018",2018-02-10,9:00am-12:30pm,Transitions in African Culture,African Culture Dialogues,120,65.00,n/a,register all 4 Dialogues - $200
Dialogues seminar,"Feb 17, 2018",2018-02-17,9:00am-12:30pm,UNC and State Politics: Then and Now ,UNC Dialogues,90,65.00,n/a,register all 4 Dialogues - $200
Dialogues seminar,"Mar 3, 2018",2018-03-03,9:00am-12:30pm,Spain: Then and Now,Spain Dialogues,120,65.00,n/a,register all 4 Dialogues - $200
Dialogues seminar,"Apr 28, 2018",2018-04-28,9:00am-12:30pm,Paris: Then and Now,Paris Dialogues,120,65.00,n/a,register all 4 Dialogues - $200
Great Books Group,"Jan 30, 2018",2018-01-30,10:00am-12:00pm,Oedipus the King by Sophocles,Oedipus the King,20,25.00,n/a,n/a
Great Books Group,"Feb 6 & 13, 2018",2018-02-06,10:00am-12:00pm,Selected Poems by Rita Dove,Rita Dove,20,35.00,n/a,n/a
Great Books Group,"Feb 27 & Mar 6, 2018",2018-02-27,10:00am-12:00pm,The Misanthrope and Tartuffe by Moliere,Moliere,20,35.00,n/a,n/a
Great Books Group,"Mar 20 & 27, 2018",2018-03-20,10:00am-12:00pm,The Post Office Girl by Stefan Zweig,Post Office Girl,20,35.00,n/a,n/a
Great Books Group,"Apr 3 & 10, 2018",2018-04-03,10:00am-12:00pm,The God of Small Things by Arundhati Roy,God of Small Things,20,35.00,n/a,n/a
Great Books Group,"Apr 17 & 24, 2018",2018-04-17,10:00am-12:00pm,The Second Sex by Simone de Beauvoir,Second Sex,20,35.00,n/a,n/a
Language Lunch,"Jan 22, 2018",2018-01-22,12:00pm-1:30pm,Advanced French Lunch 1,Advanced French 1,12,20.00,n/a,n/a - lunch included
Language Lunch,"Feb 5, 2018",2018-02-05,12:00pm-1:30pm,Advanced French Lunch 2,Advanced French 2 ,12,20.00,n/a,n/a - lunch included
